Object Type	PID	Title	Path	Label	Depth	Deleted	Date Added	Date Updated	MIME Type	Checksum	File Size (bytes)	Number of Children
File	uuid:d1fac89e-7afe-4918-b578-192f3a2a7115	In Anno Mortis et Pecuniae	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/In Anno Mortis et Pecuniae"	1994_Lea_s0002.tif	5	FALSE	8/19/14 22:07	8/19/14 23:17	image/tiff	4b9bde3483b8276ace9a9214a55d2e7e	30261508	
File	uuid:5eec0ff4-1edc-4eaa-905f-d3ce193b60fe	Magnus Pinkus	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/Magnus Pinkus"	1994_Lea_s0003.tif	5	FALSE	8/19/14 22:07	8/19/14 23:17	image/tiff	fc5f52c858b7ba2b2787b3dca4cd6aa8	29888404	
File	uuid:18f0908b-b45b-47f4-9384-63c79761c738	Magnus Pinkus (detail)	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/Magnus Pinkus (detail)"	1994_Lea_s0004.tif	5	FALSE	8/19/14 22:08	8/19/14 23:17	image/tiff	43940b928966d6a91572c9b4f1487a5b	29441508	
File	uuid:b56d07a5-6e07-4c14-a3db-9a915d62e6ff	In Anno Mortis et Pecuniae	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/In Anno Mortis et Pecuniae"	1994_Lea_s0005.tif	5	FALSE	8/19/14 22:08	8/19/14 23:18	image/tiff	d651a3e597602661ca0472c6f6c6f640	25051464	
File	uuid:7c7a6998-9799-4186-854a-614ce8a3f544	Zeus	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/Zeus"	1994_Lea_s0006.tif	5	FALSE	8/19/14 22:08	8/19/14 23:18	image/tiff	0ffef62c470e91d11a3ae309d0ff0aa6	30324736	
File	uuid:67d7fd88-5b5d-4d2b-9a87-5bdc04d5bb5a	Virtual Reality	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/Virtual Reality"	1994_Lea_s0007.tif	5	FALSE	8/19/14 22:09	8/19/14 23:18	image/tiff	cd0b91d8b905329e7adb8058ad91c174	30218664	
File	uuid:0b04af27-be67-453a-bd34-628843553e4d	Hera	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/Hera"	1994_Lea_s0008.tif	5	FALSE	8/19/14 22:09	8/19/14 23:19	image/tiff	89b20ec5023878d9b965d7eb1342f8e8	30167048	
File	uuid:25538507-c4d1-4833-ae02-a151a7c2a3bc	Zeus	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/Zeus"	1994_Lea_s0009.tif	5	FALSE	8/19/14 22:09	8/19/14 23:19	image/tiff	4730d81254e3d3de23deeffd85c93804	30387188	
File	uuid:0ddb6724-df4b-4f56-b084-a8ba75cb8dac	Big Bang (detail)	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/Big Bang (detail)"	1994_Lea_s0010.tif	5	FALSE	8/19/14 22:10	8/19/14 23:19	image/tiff	d332a8b0118af044248986ee7b0e0bda	29356020	
File	uuid:7529c8c4-0ab4-4edc-aba8-00076bcc534e	Hera	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/Hera"	1994_Lea_s0011.tif	5	FALSE	8/19/14 22:10	8/19/14 23:20	image/tiff	df54f16b46d5a4f2f64109df677f631b	30371736	
File	uuid:5ef7fd17-00eb-40fa-874e-c96a06b46d84	Virtual Reality (detail)	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/Virtual Reality (detail)"	1994_Lea_s0012.tif	5	FALSE	8/19/14 22:10	8/19/14 23:20	image/tiff	d105944f91122b85c371510b060c4b57	30198388	
File	uuid:313ea5ad-e59d-4934-a5b6-35258b15e358	3516-M	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/3516-M"	1994_Lea_s0013.tif	5	FALSE	8/19/14 22:11	8/19/14 23:21	image/tiff	c90894c5a255d9650ecd16ef1771e684	30198416	
File	uuid:d6621978-870f-441a-9810-f817641e52a3	3516-M (detail)	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/3516-M (detail)"	1994_Lea_s0014.tif	5	FALSE	8/19/14 22:11	8/19/14 23:21	image/tiff	1dc4c06e56f4e1bfafecab852a60de1d	30543176	
File	uuid:7dd5ab8b-0974-4015-9fab-4a6122ffd716	3516-M (detail)	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/3516-M (detail)"	1994_Lea_s0015.tif	5	FALSE	8/19/14 22:11	8/19/14 23:22	image/tiff	407bc513071b47bced4a1fc4fc4ccc04	30663512	
